"SeqTxtPadrao","Aplicacao","Descricao","AssPadrao","Texto","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","HoraAGUARDARET","IDEXTERNO"
"54","MsCtr_Andamento_EML","Entrega Física com Divergência","Entrega Física com Divergência - Processo nº [AndNroProcesso]","O processo nº [AndNroProcesso] do cliente [AndNomePessoa] teve divergência no andamento da entrega física.
O CEN responsável é o [AndVendedor].

[AndDetalhe]

","12/05/2016 11:07:00","JULIANA.PLACIDI","04/10/2016 08:32:00","JULIANA.PLACIDI","0,0",""
"55","MsCtr_Andamento_EML","Venda Perdida","Venda Perdida - Cliente [AndNomePessoa] / Sequencial [AndSeqPessoa] / Processo [AndNroProcesso]","O CEN [AndNomeReduzidoAtendente] registrou no processo [AndNroProcesso] a venda perdida no cliente [AndNomePessoa] - [AndSeqPessoa].

Detalhes do histórico:
[AndDetalhe]


","17/05/2016 14:46:00","JULIANA.PLACIDI","16/08/2023 11:21:00","LIVIA.SILVA","0,0",""
"56","MsCtr_Andamento_EML","Pagamento de Sinal Implemento","Pagamento de Sinal Implemento - Cliente [AndNomePessoa] - [AndNroProcesso]","Prezados,

Foi realizado o pagamento do sinal do cliente [AndNomePessoa] e número do processo [AndNroProcesso].

Veja o histórico do processo abaixo:
[AndDetalhe]","20/05/2016 17:12:00","JULIANA.PLACIDI","20/05/2016 17:12:00","JULIANA.PLACIDI","0,0",""
"57","MsCtr_Andamento_EML","ATENDIMENTO SOLICITAÇÃO","ATENDIMENTO SOLICITAÇÃO - [AndNomePessoa]","Cliente [AndNomePessoa] entrou em contato para realizar um Atendimento Solicitação na Colorado Máquinas.

Vide resumo da solicitação do cliente inserida no processo n° [AndNroProcesso]:
[AndDetalhe]
[AndDetalheAdicional]




Solicitação registrada pelo colaborador [AndNomeReduzidoAtendente]
Unidade envolvida na reclamação [AndNroEmpresa]","31/05/2016 15:36:00","BRUNA.FELICIO","31/05/2016 15:36:00","BRUNA.FELICIO","0,0",""
"58","RESULTADOS","Número Cotação Cliente","","Número cotação cliente:","05/07/2016 11:58:00","VANESSA.ALVES","05/07/2016 11:58:00","VANESSA.ALVES","0,0",""
"59","RESULTADOS","Dados NF","","Data de emissão:
Nº NF:
Valor NF:","13/07/2016 11:55:00","VANESSA.ALVES","13/07/2016 11:55:00","VANESSA.ALVES","0,0",""
"60","MsCtr_Andamento_EML","Faturamento Pendente Máquinas","Faturamento Pendente (Máquinas)","Prezado, [DestNomeCurto]

O equipamento do(a) [AndNomePessoa], negociado no processo número [AndNroProcesso] está com pendência para faturamento. O Departamento [AndComplementoResultado] deverá solucionar a pendência mencionada abaixo para darmos continuidade no processo.

[AndDetalhe]

Atenciosamente,

Contabilidade","01/08/2016 15:46:00","VANESSA.ALVES","23/02/2023 15:03:00","LIVIA.SILVA","0,0",""
"61","MsCtr_Andamento_EML","ATUALIZAÇÃO CRÉDITO","Documentação para Análise de Crédito - [AndNomePessoa] Processo [AndNroProcesso].","Prezados, 

Documentação cadastral atualizada. 

Favor disponibilizar crédito e/ou desbloquear o status do(a) cliente [AndNomePessoa] no sistema Linx.

Processo [AndNroProcesso].

[AndDescResultado]

Atenciosamente,

Inteligência de Mercado","04/08/2016 16:32:00","VANESSA.ALVES","22/11/2017 08:49:00","VANESSA.ALVES","0,0",""
"62","MsCtr_Andamento_EML","PROGRAMAR_ENTREGA","Programação de Entrega","Prezados,
 
Foi programado data de entrega para o cliente Sr(a) [AndNomePessoa], referente ao processo número [AndNroProcesso]. 

[AndDetalhe]
 
 
Atenciosamente, 
 

[AndNomeReduzidoAtendente] 
[AndEmailAtendente]","05/08/2016 14:16:00","VANESSA.ALVES","20/10/2020 08:02:00","VANESSA.ALVES","0,0",""
"63","MsCtr_Andamento_EML","Faturamento Pendente Implement","Faturamento Pendente (Implemento)","Prezado, [DestNomeCurto]

O implemento do(a) [AndNomePessoa], negociado no processo número [AndNroProcesso] está com pendência para faturamento. O Departamento [AndComplementoResultado] deverá solucionar a pendência mencionada abaixo para darmos continuidade no processo.

[AndDetalhe]
[AndVendedor]


Atenciosamente,

Contabilidade","12/08/2016 11:52:00","VANESSA.ALVES","24/04/2017 09:54:00","VANESSA.ALVES","0,0",""
"64","MsCtr_Andamento_EML","Aprov Credito Pendente Impl","Pendência para Aprovação de Crédito Implemento","Prezado, [DestNomeCurto]

O implemento do(a) [AndNomePessoa], negociado no processo número [AndNroProcesso] está com pendência para aprovação de crédito. Por gentileza providencie o documento mencionado abaixo para darmos continuidade na análise.

[AndDetalhe]

Atenciosamente,

[AndNomeReduzidoAtendente]
Depto Financeiro","12/08/2016 12:57:00","VANESSA.ALVES","12/08/2016 13:03:00","VANESSA.ALVES","0,0",""
"65","MsCtr_Andamento_EML","Processo Venda à Vista","Processo de Venda à Vista - Cliente [AndNomePessoa],[AndNroProcesso]","Prezados,

Informamos à todos que o processo de venda do (a) cliente [AndNomePessoa], processo nº [AndNroProcesso] foi aprovado pelo gerente. Por trata-se de um processo de venda à vista, todos deverão agilizar o processo para cumprimento do prazo de entrega de 3 dias.

Atenciosamente 

Inteligência de Mercado
","30/08/2016 14:38:00","VANESSA.ALVES","09/09/2016 07:57:00","VANESSA.ALVES","0,0",""
"66","MsCtr_Andamento_EML","Implemento Faturado","Implemento Faturado [AndNomePessoa] - [AndNroProcesso]","Prezado,

O implemento do cliente [AndNomePessoa] já passou pela etapa de faturamento de acordo com o processo [AndNroProcesso] do vendedor [AndVendedor]. A NF está anexada ao processo dentro do CRM.

Veja o histórico do processo:
[AndDetalhe]
[AndNroProcesso]","02/09/2016 15:04:00","VANESSA.ALVES","28/04/2017 08:51:00","VANESSA.ALVES","0,0",""
"67","MsCtr_Andamento_EML","TXT_TESTE","TXT_TESTE","teste","15/02/2017 15:25:00","VTCCONS","20/03/2023 10:40:00","LIVIA.SILVA","0,0",""
"68","MsCtr_Andamento_EML","Pedido Aprovado","Pedido Aprovado","Prezado, 

O pedido de venda do(a) Sr(a) [AndNomePessoa] foi lançado no CRM pelo CEN [AndNomeReduzidoAtendente] com o nº do processo [AndNroProcesso]. O pedido de venda foi autorizado pelo gestor [AndNomeReduzidoAtendente].

Caso necessite de mais informações acesse o processo [AndNroProcesso]
 

Atenciosamente, 


","15/02/2017 15:49:00","VANESSA.ALVES","15/04/2022 22:45:00","DIEGO.MARQUES","0,0",""
"69","MsCtr_Andamento_EML","AMS Faturado","Faturamento de AMS - Cliente [AndNomePessoa] [AndNroProcesso]","Prezados, o AMS do cliente [AndNomePessoa] já passou pela etapa de faturamento de acordo com o processo [AndNroProcesso] do vendedor [AndVendedor]. A NF está anexa ao processo dentro do CRM.

Veja o histórico do processo:
[AndDetalhe]","03/03/2017 16:34:00","VANESSA.ALVES","24/03/2017 14:23:00","VANESSA.ALVES","0,0",""
"70","MsCtr_Andamento_SMS","Entrega Técnica Realizada","","Entrega Técnica Realizada com o cliente [DestNomeCompleto], por favor realizar Pesquisa de Satisfação/1º Contato 3,3,3","17/03/2017 11:15:00","BRUNA.FELICIO","17/03/2017 11:15:00","BRUNA.FELICIO","0,0",""
"71","MsCtr_Andamento_EML","Realizar Entrega Técnica","Realizar Entrega Técnica","Entrega técnica realizada com o cliente [AndNomePessoa] Processo [AndNroProcesso], por favor realizar a Pesquisa de Satisfação, 1º Contato 3,3,3.

[AndSeqPessoa]
[AndDetalhe]","17/03/2017 11:22:00","BRUNA.FELICIO","20/11/2018 11:00:00","BRUNA.FELICIO","0,0",""
"72","MsCtr_Andamento_EML","Proc Venda Financiado Colorado","Processo de Venda Financiado Colorado - Cliente [AndNomePessoa],[AndNroProcesso]","Prezados,

Informamos à todos que o processo de venda do (a) cliente [AndNomePessoa], processo nº [AndNroProcesso] foi aprovado pelo gerente. Por trata-se de um processo de venda "" Financiamento Colorado"", todos deverão agilizar o processo para cumprimento do prazo de entrega.

Atenciosamente 

Inteligência de Mercado

","12/06/2017 12:35:00","VANESSA.ALVES","12/06/2017 12:35:00","VANESSA.ALVES","0,0",""
"73","MsCtr_Andamento_EML","REGISTRO SATISFAÇÃO - Elogio","Registro de Satisfação - Elogio","
Origem: [AndAgendaAssunto]

Processo: [AndNroProcesso] - Data: [AndDataRealizacao] - [AndNroEmpresa] 

Cliente: [AndNomePessoa] - [AndSeqPessoa] 

Registro CRM: [AndDescResultado], [AndComplementoResultado]

[AndDetalheAdicional][AndDetalhe]

[AndAssinaturaAtendente]","28/06/2017 10:47:00","VANESSA.ALVES","17/04/2023 10:13:00","VANESSA.ALVES","0,0",""
"74","MsCtr_Andamento_EML","Aprov Pedido Máquinas/AMS/IMP","Processo para Aprovação de Pedido [AndNroProcesso]","Prezado Gestor

O processo número [AndNroProcesso] do cliente do(a) [AndNomePessoa] encontra-se em sua agenda para Aprovação de Pedido.

Por gentileza sequencie o processo o mais breve possível.

Atenciosamente.



","14/08/2017 15:08:00","VANESSA.ALVES","15/04/2022 22:01:00","DIEGO.MARQUES","0,0",""
"75","MsCtr_Andamento_EML","Aprovação AMS","Processo para Aprovação de Pedido [AndNroProcesso]","Prezado Gestor

O processo número [AndNroProcesso] do cliente do(a) [AndNomePessoa] encontra-se em sua agenda para Aprovação de Pedido AMS.

Por gentileza sequencie o processo o mais breve possível.

Atenciosamente.

Inteligência de Mercado

","08/09/2017 16:17:00","VANESSA.ALVES","08/09/2017 16:18:00","VANESSA.ALVES","0,0",""
"76","MsCtr_Andamento_EML","Implemento_Estoque","Implemento em Estoque","Prezados

O processo número [AndNroProcesso] do cliente do(a) [AndNomePessoa] encontra-se com o implemento em estoque.

Por gentileza sequencie o processo o mais breve possível.

Atenciosamente.

Inteligência de Mercado","27/09/2017 09:10:00","VANESSA.ALVES","27/09/2017 09:10:00","VANESSA.ALVES","0,0",""
"77","MsCtr_Andamento_EML","Cliente Neutro Máquinas","CLIENTE NEUTRO PESQUISA - [AndNomePessoa] - Neutro Máquinas","Cliente [AndNomePessoa], realizou comentários em Pesquisa Venda de Máquinas.

Número do processo: [AndNroProcesso]

[AndDetalhe]
[AndDetalheAdicional]

""Experiência do Cliente Satisfatória é trabalho de cada um e resultado de todos!""

","06/11/2017 15:47:00","BRUNA.FELICIO","26/10/2020 16:43:00","BRUNA.FELICIO","0,0",""
"78","MsCtr_Andamento_EML","Cliente Neutro Peças","CLIENTE NEUTRO PESQUISA - [AndNomePessoa] - Neutro Peças","Cliente [AndNomePessoa], realizou comentários em Pesquisa de Peças.

Número do processo: [AndNroProcesso]

[AndDetalhe]
[AndDetalheAdicional]

""Experiência do Cliente Satisfatória é trabalho de cada um e resultado de todos!""
","06/11/2017 17:02:00","BRUNA.FELICIO","26/10/2020 16:55:00","BRUNA.FELICIO","0,0",""
"79","MsCtr_Andamento_EML","Cliente Neutro Serviços","CLIENTE NEUTRO PESQUISA - [AndNomePessoa] - Neutro Serviços","Cliente [AndNomePessoa], realizou comentários em Pesquisa de Serviços.

Número do processo: [AndNroProcesso]

[AndDetalhe]
[AndDetalheAdicional]


""Experiência do Cliente Satisfatória é trabalho de cada um e resultado de todos!""","07/11/2017 11:16:00","BRUNA.FELICIO","26/10/2020 17:00:00","BRUNA.FELICIO","0,0",""
"80","MsCtr_Andamento_EML","SOLICITAÇÃO CRÉDITO","Solicitação de análise de crédito - Cliente [AndNomePessoa] Processo [AndNroProcesso]","Senhores, 

Foi solicitado análise de crédito para o(a) Cliente [AndNomePessoa] , processo [AndNroProcesso].

Favor realizar a análise e sequenciar o processo.

Veja o histórico do processo:

[AndDetalhe]

Atenciosamente,

Inteligência de Mercado","21/11/2017 17:34:00","VANESSA.ALVES","22/11/2017 08:49:00","VANESSA.ALVES","0,0",""
"81","MsCtr_Andamento_EML","Equipamento Usado Faturado","Equipamento Usado Faturado - [AndNomePessoa] - [AndNroProcesso]","Prezados, 

O equipamento usado do cliente [AndNomePessoa] foi faturamento de acordo com o processo [AndNroProcesso]
A NF está anexa ao processo dentro do CRM.

Atenciosamente
[AndDetalhe]","30/01/2018 08:33:00","VANESSA.ALVES","21/01/2020 13:39:00","VANESSA.ALVES","0,0",""
"82","MsCtr_Andamento_EML","Equipamento Manitou Faturado","Equipamento Manitou Faturado - Cliente [AndNomePessoa] - [AndNroProcesso]","Prezados, 

O equipamento Manitou do cliente [AndNomePessoa] [AndSeqPessoa] já passou pela etapa de faturamento de acordo com o processo [AndNroProcesso].Vendedor [AndVendedor].

A NF está anexa ao processo dentro do CRM.

Veja o histórico do processo:

[AndDetalhe]","30/01/2018 09:14:00","DIEGO.MARQUES","30/01/2018 10:01:00","DIEGO.MARQUES","0,0",""
"83","MsCtr_Andamento_EML","Equipamento Locação Faturado","Equipamento Locação Faturado - Cliente [AndNomePessoa] - [AndNroProcesso]","Prezados,

Realizado o faturamento do Contrato de Locação do cliente [AndNomePessoa] [AndSeqPessoa] processo [AndNroProcesso] e vendedor [AndVendedor].

A NF está anexa ao processo dentro do CRM.

Veja o histórico do processo:

[AndDetalhe]","30/01/2018 09:27:00","DIEGO.MARQUES","30/01/2018 10:01:00","DIEGO.MARQUES","0,0",""
"84","MsCtr_Andamento_EML","Refaturamento de Implemento","Implemento Refaturado - Cliente [AndNomePessoa] - [AndNroProcesso]","Prezados,

O implemento do cliente [AndNomePessoa] [AndSeqPessoa]foi refaturado de acordo com o processo [AndNroProcesso]. Vendedor [AndVendedor].

 A NF está anexada ao processo dentro do CRM.

Veja o histórico do processo:

[AndDetalhe]","30/01/2018 09:43:00","DIEGO.MARQUES","30/01/2018 10:00:00","DIEGO.MARQUES","0,0",""
"85","MsCtr_Andamento_EML","Refaturamento de Maquina","Maquina Refaturada - Cliente [AndNomePessoa] - [AndNroProcesso]","Prezados,

O equipamento do cliente [AndNomePessoa] [AndSeqPessoa] foi refaturado de acordo com o processo [AndNroProcesso]. Vendedor [AndVendedor].

 A NF está anexada ao processo dentro do CRM.

Veja o histórico do processo:

[AndDetalhe]","30/01/2018 09:58:00","DIEGO.MARQUES","30/01/2018 10:00:00","DIEGO.MARQUES","0,0",""
"86","MsCtr_Andamento_EML","O.S AMS Faturada","O.S de AMS Faturada - Cliente [AndNomePessoa] [AndNroProcesso]","Prezados, 

A Ordem de Serviço referente a Serviços de A.M.S. foi faturado ao cliente [AndNomePessoa] [AndSeqPessoa]

A NF está anexada ao processo dentro do CRM. Vendedor [AndVendedor]

Veja o histórico do processo:
[AndDetalhe]","30/01/2018 15:51:00","DIEGO.MARQUES","01/02/2018 14:17:00","DIEGO.MARQUES","0,0",""
"87","MsCtr_Andamento_EML","Preparação Docto Financeiro","PREPARAR PEDIDO E DOCUMENTAÇÃO PARA APROVAÇÃO FINANCEIRA - Cliente [AndNomePessoa] - [AndNroProcesso]","Prezado CEN

Você acaba de receber em sua agenda no CRM a ação de PREPARAR PEDIDO E DOCUMENTAÇÃO PARA APROVAÇÃO, assim que o pedido e documentação do cliente estiverem prontos para envio ao departamento financeiro, esta ação deverá ser concluída imediatamente no CRM.

Este processo permanecerá parado até que você sequencie o processo.

Cliente [AndNomePessoa]
[AndNroProcesso]

Qualquer dúvida entre em contato com o departamento de Inteligência de Mercado

Atenciosamente.

Inteligência de Mercado
","23/02/2018 08:22:00","VANESSA.ALVES","23/02/2018 08:27:00","VANESSA.ALVES","0,0",""
"88","MsCtr_Andamento_EML","Teste e-mail mkt","Teste E-mail Mkt - [AndNomePessoa] - [AndSeqPessoa]","<html>
<head>
<title>07 - E-mail marketing_MT2550</title>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">
</head>
<body bgcolor=""#FFFFFF"" leftmargin=""0"" topmargin=""0"" marginwidth=""0"" marginheight=""0"">
<!-- Save for Web Slices (07 - E-mail marketing_MT2550.psd) -->
<table id=""Table_01"" width=""650"" height=""1151"" border=""0"" align=""center"" cellpadding=""0"" cellspacing=""0"">
 <tr>
 <td height=""30"" align=""center"" style=""font-family:Arial, Helvetica, sans-serif;font-size:10px;color:#333"">Caso n&atilde;o consiga visualizar esta mensagem, <a href=""http://www.coloradolocacao.com.br/envio/2017/julho/index.html"" style=""color:#333"">acesse aqui</a>.</td>
 </tr>
 <tr>
 <td>
 <img border=""0"" style=""display:block;"" src=""http://www.coloradolocacao.com.br/envio/2017/julho/images/MT2550_01.jpg"" width=""650"" height=""58"" alt=""Colorado Loca&#231;&#227;o e Equipamentos - Manitou MRT 2550""></td>
 </tr>
 <tr>
 <td>
 <img border=""0"" style=""display:block;"" src=""http://www.coloradolocacao.com.br/envio/2017/julho/images/MT2550_02.jpg"" width=""650"" height=""174"" alt=""Colorado Loca&#231;&#227;o e Equipamentos - Manitou MRT 2550""></td>
 </tr>
 <tr>
 <td>
 <img border=""0"" style=""display:block;"" src=""http://www.coloradolocacao.com.br/envio/2017/julho/images/MT2550_03.jpg"" width=""650"" height=""177"" alt=""Colorado Loca&#231;&#227;o e Equipamentos - Manitou MRT 2550""></td>
 </tr>
 <tr>
 <td>
 <img border=""0"" style=""display:block;"" src=""http://www.coloradolocacao.com.br/envio/2017/julho/images/MT2550_04.jpg"" width=""650"" height=""161"" alt=""Colorado Loca&#231;&#227;o e Equipamentos - Manitou MRT 2550""></td>
 </tr>
 <tr>
 <td>
 <a href=""#""
 onmouseover=""window.status='O 3 em 1 mais versátil do mercado'; return true;""
 onmouseout=""window.status=''; return true;"">
 <img border=""0"" style=""display:block;"" src=""http://www.coloradolocacao.com.br/envio/2017/julho/images/MT2550_05.jpg"" width=""650"" height=""126"" border=""0"" alt=""Colorado Loca&#231;&#227;o e Equipamentos - Manitou MRT 2550""></a></td>
 </tr>
 <tr>
 <td>
 <img border=""0"" style=""display:block;"" src=""http://www.coloradolocacao.com.br/envio/2017/julho/images/MT2550_06.jpg"" width=""650"" height=""92"" alt=""Colorado Loca&#231;&#227;o e Equipamentos - Manitou MRT 2550""></td>
 </tr>
 <tr>
 <td>
 <img border=""0"" style=""display:block;"" src=""http://www.coloradolocacao.com.br/envio/2017/julho/images/MT2550_07.jpg"" width=""650"" height=""79"" alt=""Colorado Loca&#231;&#227;o e Equipamentos - Manitou MRT 2550""></td>
 </tr>
 <tr>
 <td>
 <img border=""0"" style=""display:block;"" src=""http://www.coloradolocacao.com.br/envio/2017/julho/images/MT2550_08.jpg"" width=""650"" height=""80"" alt=""Colorado Loca&#231;&#227;o e Equipamentos - Manitou MRT 2550""></td>
 </tr>
 <tr>
 <td>
 <a href=""http://www.coloradolocacao.com.br/contato/orcamento"" target=""_blank"">
 <img border=""0"" style=""display:block;"" src=""http://www.coloradolocacao.com.br/envio/2017/julho/images/MT2550_09.jpg"" width=""650"" height=""109"" border=""0"" alt=""Colorado Loca&#231;&#227;o e Equipamentos - Manitou MRT 2550 - saiba mais e solicite or&#231;amento""></a></td>
 </tr>
 <tr>
 <td>
 <img border=""0"" style=""display:block;"" src=""http://www.coloradolocacao.com.br/envio/2017/julho/images/MT2550_10.jpg"" width=""650"" height=""95"" alt=""Colorado Loca&#231;&#227;o e Equipamentos - Manitou MRT 2550""></td>
 </tr>
</table>
<!-- End Save for Web Slices -->
</body>
</html>","18/05/2018 16:08:00","VANESSA.ALVES","18/05/2018 16:30:00","VANESSA.ALVES","0,0",""
"89","MsCtr_Andamento_EML","Evento Dia de Campo","Evento Dia de Campo - [AndNomePessoa] - [AndSeqPessoa]","<html>

<head>

<title>E-mail_dia_campo</title>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">

</head>
<body bgcolor=""#FFFFFF"" leftmargin=""0"" topmargin=""0"" marginwidth=""0"" marginheight=""0"">
<!-- Save for Web Slices (E-mail_dia_campo.jpg) -->
<table id=""Tabela_01"" width=""850"" height=""1201"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
 <td colspan=""7"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_01.jpg"" width=""850"" height=""210"" alt=""""></td>
 </tr>
 <tr>
 <td colspan=""3"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_02.jpg"" width=""303"" height=""371"" alt=""""></td>
 <td colspan=""3"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_03.jpg"" width=""255"" height=""371"" alt=""""></td>
 <td>
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_04.jpg"" width=""220"" height=""371"" alt=""""></td>
 </tr>
 <tr>
 <td colspan=""7"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_05.jpg"" width=""850"" height=""285"" alt=""""></td>
 </tr>
 <tr>
 <td colspan=""7"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_06.jpg"" width=""850"" height=""181"" alt=""""></td>
 </tr>
 <tr>
 <td rowspan=""4"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_07.jpg"" width=""37"" height=""159"" alt=""""></td>
 <td colspan=""4"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_08.jpg"" width=""486"" height=""30"" alt=""""></td>
 <td colspan=""2"" rowspan=""3"">
 <a href=""http://www.coloradolocacao.com.br/envio/2017/Teste/images "" target=""_blank"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/Site-John-Deere.jpg"" width=""327"" height=""110"" border=""0"" alt=""Site John Deere""></a></td>
 </tr>
 <tr>
 <td>
 <a href=""http://www.coloradolocacao.com.br/envio/2017/Teste/images "" target=""_blank"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_10.jpg"" width=""165"" height=""48"" border=""0"" alt=""""></a></td>
 <td colspan=""3"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_11.jpg"" width=""321"" height=""48"" alt=""""></td>
 </tr>
 <tr>
 <td colspan=""3"">
 <a href=""http://www.coloradolocacao.com.br/envio/2017/Teste/images "" target=""_blank"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/Site-Colorado.jpg"" width=""308"" height=""32"" border=""0"" alt=""Site Colorado""></a></td>
 <td>
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_13.jpg"" width=""178"" height=""32"" alt=""""></td>
 </tr>
 <tr>
 <td colspan=""4"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_14.jpg"" width=""486"" height=""49"" alt=""""></td>
 <td colspan=""2"">
 <img src=""http://www.coloradolocacao.com.br/envio/2017/Teste/images/E-mail_dia_campo_15.jpg"" width=""327"" height=""49"" alt=""""></td>
 </tr>
 <tr>
 <td>
 <img src=""images/spacer.gif"" width=""37"" height=""1"" alt=""""></td>
 <td>
 <img src=""images/spacer.gif"" width=""165"" height=""1"" alt=""""></td>
 <td>
 <img src=""images/spacer.gif"" width=""101"" height=""1"" alt=""""></td>
 <td>
 <img src=""images/spacer.gif"" width=""42"" height=""1"" alt=""""></td>
 <td>
 <img src=""images/spacer.gif"" width=""178"" height=""1"" alt=""""></td>
 <td>
 <img src=""images/spacer.gif"" width=""35"" height=""1"" alt=""""></td>
 <td>
 <img src=""images/spacer.gif"" width=""292"" height=""1"" alt=""""></td>
 </tr>
</table>
<!-- End Save for Web Slices -->
</body>
</html>
","29/05/2018 12:22:00","VANESSA.ALVES","02/07/2018 20:28:00","VANESSA.ALVES","0,0",""
"90","MsCtr_Andamento_EML","Evento Hora Certa","Evento Hora Certa - [AndNomePessoa] - [AndSeqPessoa]","<html>
<head>
<title>E-mail_hora-certa</title>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">
</head>
<body bgcolor=""#FFFFFF"" leftmargin=""0"" topmargin=""0"" marginwidth=""0"" marginheight=""0"">
<!-- Save for Web Slices (E-mail_hora-certa.jpg) -->
<table id=""Tabela_01"" width=""850"" height=""1201"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
 <td colspan=""5"">
 <img src=""images/E-mail_hora-certa_01.jpg"" width=""850"" height=""236"" alt=""""></td>
 </tr>
 <tr>
 <td colspan=""5"">
 <img src=""images/E-mail_hora-certa_02.jpg"" width=""850"" height=""334"" alt=""""></td>
 </tr>
 <tr>
 <td colspan=""5"">
 <img src=""images/E-mail_hora-certa_03.jpg"" width=""850"" height=""293"" alt=""""></td>
 </tr>
 <tr>
 <td colspan=""5"">
 <img src=""images/E-mail_hora-certa_04.jpg"" width=""850"" height=""178"" alt=""""></td>
 </tr>
 <tr>
 <td rowspan=""4"">
 <img src=""images/E-mail_hora-certa_05.jpg"" width=""43"" height=""159"" alt=""""></td>
 <td colspan=""3"">
 <img src=""images/E-mail_hora-certa_06.jpg"" width=""465"" height=""35"" alt=""""></td>
 <td rowspan=""3"">
 <a href=""https://www.deere.com.br/pt/index.html"" target=""_blank"">
 <img src=""images/Site-John-Deere.jpg"" width=""342"" height=""107"" border=""0"" alt=""Site John Deere""></a></td>
 </tr>
 <tr>
 <td>
 <img src=""images/E-mail_hora-certa_08.jpg"" width=""150"" height=""43"" alt=""""></td>
 <td colspan=""2"">
 <img src=""images/E-mail_hora-certa_09.jpg"" width=""315"" height=""43"" alt=""""></td>
 </tr>
 <tr>
 <td colspan=""2"">
 <img src=""images/E-mail_hora-certa_10.jpg"" width=""299"" height=""29"" alt=""""></td>
 <td>
 <img src=""images/E-mail_hora-certa_11.jpg"" width=""166"" height=""29"" alt=""""></td>
 </tr>
 <tr>
 <td colspan=""3"">
 <img src=""images/E-mail_hora-certa_12.jpg"" width=""465"" height=""52"" alt=""""></td>
 <td>
 <img src=""images/E-mail_hora-certa_13.jpg"" width=""342"" height=""52"" alt=""""></td>
 </tr>
 <tr>
 <td>
 <img src=""images/spacer.gif"" width=""43"" height=""1"" alt=""""></td>
 <td>
 <img src=""images/spacer.gif"" width=""150"" height=""1"" alt=""""></td>
 <td>
 <img src=""images/spacer.gif"" width=""149"" height=""1"" alt=""""></td>
 <td>
 <img src=""images/spacer.gif"" width=""166"" height=""1"" alt=""""></td>
 <td>
 <img src=""images/spacer.gif"" width=""342"" height=""1"" alt=""""></td>
 </tr>
</table>
<!-- End Save for Web Slices -->
</body>
</html>","29/05/2018 14:49:00","VANESSA.ALVES","04/06/2018 15:41:00","VANESSA.ALVES","0,0",""
"91","MsCtr_Andamento_EML","Cliente Realizou Contato","Contato Mídia Social","Prezado Colaborador, 

O processo número [AndNroProcesso] registrado em nosso CRM encontra-se em sua agenda para continuidade do atendimento. 

Este contato solicitou atendimento via [AndCanal] referente a [AndComplementoResultado]

Por gentileza retorne o contato e sequencie o processo o mais breve possível.

Detalhe do Processo: 

[AndDetalhe]


Atenciosamente 

Inteligência de Mercado","04/06/2018 10:57:00","DIEGO.MARQUES","07/11/2019 13:01:00","DIEGO.MARQUES","0,0",""
