"SeqEvento","Pcte","Evento","Origem","NroEmpresa","NroEmpresaDestino","ResultAtivo","GeraAndSempre","ResultRec","ResultRecPE","GeraRecSempre","AtuHistProcesso","Descricao","DetalheAuto","ProcedureAdicional","ProcessoUnico","GeraAcao","ExcluiProcesso","ObsTec","UsuAlteracao","DtaAlteracao","DtaUltUso","DescAcaoOutroProc","RESULTRECHSTE","RESULTRECHSTNE","DESCACAOOUTRAEMPR","EMUSO"
"21","","OSFATURADAPECTRT","SISDIA","0","0","","1","","","0","","Evento OSFATURADAPECTRT, orig. SISDIA","","","0","0","","","Serv. Processo","23/01/2017 17:38:04","29/07/2021 15:43:40","","","","","1"
"22","","PECFATCANC","SISDIA","0","0","","1","701","","0","","Evento PECFATCANC, orig. SISDIA","","","0","0","","","VANESSA.ALVES","10/02/2017 18:15:00","29/07/2021 15:49:31","","","","","1"
"23","","PECAORCCAN","SISDIA","0","0","","1","","","0","","Evento PECAORCCAN, orig. SISDIA","","","0","0","","","Serv. Processo","23/01/2017 17:38:37","29/07/2021 13:41:16","","","","","1"
"24","","VEICFATTRT","SISDIA","0","0","212","1","","","0","","Evento VEICFATTRTN, orig. SISDIA","","","0","0","","","VTCCONS","24/01/2017 09:18:00","23/01/2017 17:40:58","1","","","","1"
"25","","NFS INCLUÍDA","SISDIA","3","3","","1","","","0","0","Evento NFS INCLUÍDA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","23/01/2017 21:00:34","23/01/2017 21:00:34","0","","","","1"
"26","","NFS INCLUÍDA","SISDIA","11","11","","1","","","0","0","Evento NFS INCLUÍDA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","23/01/2017 21:00:34","23/01/2017 21:00:34","0","","","","1"
"27","","NFS INCLUÍDA","SISDIA","2","2","","1","","","0","0","Evento NFS INCLUÍDA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","23/01/2017 21:00:34","23/01/2017 21:00:34","0","","","","1"
"28","","NFS INCLUÍDA","SISDIA","7","7","","1","","","0","0","Evento NFS INCLUÍDA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","23/01/2017 21:00:34","23/01/2017 21:00:34","0","","","","1"
"29","","NFS ALTERADA","SISDIA","7","7","","1","","","0","0","Evento NFS ALTERADA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","23/01/2017 22:29:52","23/01/2017 22:29:52","0","","","","1"
"30","","NFS ALTERADA","SISDIA","11","11","","1","","","0","0","Evento NFS ALTERADA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","23/01/2017 22:29:52","23/01/2017 22:29:52","0","","","","1"
"31","","NFS ALTERADA","SISDIA","2","2","","1","","","0","0","Evento NFS ALTERADA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","23/01/2017 22:29:52","23/01/2017 22:29:52","0","","","","1"
"32","","NFS ALTERADA","SISDIA","3","3","","1","","","0","0","Evento NFS ALTERADA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","23/01/2017 22:29:53","23/01/2017 22:29:53","0","","","","1"
"33","","OSFATURADAIMP","SISDIA","0","0","","1","54","","0","0","Evento OSFATURADATRT, orig. SISDIA","","","0","0","","","VTCCONS","24/01/2017 13:00:00","29/07/2021 12:29:32","0","","","","1"
"34","","PECAFAT","SISDIA","0","0","1643","0","53","53","1","0","NF Peça Emitida","","","1","0","","","DIEGO.MARQUES","09/08/2020 22:52:00","29/07/2021 18:00:05","0","","","","1"
"35","","OSENCERSNFTRT","SISDIA","0","0","","1","","","0","","Evento OSENCERSNFTRT, orig. SISDIA","","","0","0","","","Serv. Processo","24/01/2017 08:48:23","29/07/2021 16:22:55","","","","","1"
"36","","OSABERTAIMP","SISDIA","0","0","","1","59","","0","","Abertura de ordem de serviço implemento","","","1","0","","","VTCCONS","24/01/2017 10:57:00","29/07/2021 11:05:14","","","","","1"
"37","","OSENCERSNFIMP","SISDIA","0","0","","1","","","0","","Evento OSENCERSNFIMP, orig. SISDIA","","","0","0","","","Serv. Processo","24/01/2017 10:26:49","29/07/2021 15:54:43","","","","","1"
"38","","OSENCERRADAIMP","SISDIA","0","0","","1","","","0","","Evento OSENCERRADAIMP, orig. SISDIA","","","0","0","","","Serv. Processo","24/01/2017 10:26:49","29/07/2021 15:54:44","","","","","1"
"39","","VEICPROPCONFIMP","SISDIA","0","0","670","0","","","0","0","Pedido Confirmado SISDIA implemento","","","0","0","","","VTCCONS","24/01/2017 10:59:00","","1","","","","1"
"40","","VEICFATIMP","SISDIA","0","0","330","1","","","0","0","Evento VEICFATIMP, orig. SISDIA","","","0","0","","","VTCCONS","24/01/2017 12:59:00","20/11/2018 09:36:56","1","","","","1"
"41","","VEICFATCANCIMP","SISDIA","0","0","","0","699","","0","0","Cancelamento do faturamento","","","1","0","","","VANESSA.ALVES","30/03/2017 10:41:00","","0","","","","1"
"42","","PECAFATCANCIMP","SISDIA","0","0","","0","701","","0","0","NF Peça Cancelada","","","1","0","","","VANESSA.ALVES","10/02/2017 18:14:00","","0","","","","1"
"43","","OSABERTA","SISDIA","0","0","","0","59","","0","0","Evento OSABERTA, orig. SISDIA","","","1","0","","","VTCCONS","28/02/2017 20:09:00","01/03/2021 15:28:20","0","","","","1"
"44","","VEICNFDEVIMPN","SISDIA","0","0","","0","700","","0","0","Evento VEICNFDEVIMPN, orig. SISDIA","","","0","0","","","VTCCONS","28/02/2017 20:11:00","28/07/2021 17:58:17","0","","","","1"
"45","","NFS INCLUÍDA","SISDIA","5","5","","1","","","0","0","Evento NFS INCLUÍDA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","28/02/2017 20:48:21","28/02/2017 20:48:21","0","","","","1"
"46","","NFS INCLUÍDA","SISDIA","10","10","","1","","","0","0","Evento NFS INCLUÍDA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","28/02/2017 20:48:21","28/02/2017 20:48:21","0","","","","1"
"47","","NFS INCLUÍDA","SISDIA","9","9","","1","","","0","0","Evento NFS INCLUÍDA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","28/02/2017 20:48:22","28/02/2017 20:48:22","0","","","","1"
"48","","SOLICREVCAD","SISDIA","0","0","","1","","","0","","Evento SOLICREVCAD, orig. SISDIA","","","0","0","","","Serv. Processo","01/03/2017 09:48:18","07/06/2021 17:04:52","","","","","1"
"49","","VEICPROPCONFN","SISDIA","0","0","","1","","","0","","Evento VEICPROPCONFN, orig. SISDIA","","","0","0","","","Serv. Processo","01/03/2017 10:12:21","29/07/2021 16:48:23","","","","","1"
"50","","VEICPROPLIBIMPN","SISDIA","0","0","","1","","","0","","Evento VEICPROPLIBIMPN, orig. SISDIA","","","0","0","","","Serv. Processo","01/03/2017 10:12:58","29/07/2021 17:41:50","","","","","1"
"51","","PECACHEGESPPC","SISDIA","0","0","","1","","","0","","Evento PECACHEGESPPC, orig. SISDIA","","","0","0","","","Serv. Processo","01/03/2017 11:33:14","29/07/2021 16:15:15","","","","","1"
"52","","PECACHEGESPOS","SISDIA","0","0","","1","","","0","","Evento PECACHEGESPOS, orig. SISDIA","","","0","0","","","Serv. Processo","01/03/2017 12:57:43","29/07/2021 17:23:51","","","","","1"
"53","","OSABERTAUTL","SISDIA","0","0","","1","","","0","","Evento OSABERTAUTL, orig. SISDIA","","","0","0","","","Serv. Processo","01/03/2017 15:22:25","28/05/2021 17:30:17","","","","","1"
"54","","VEICPROPCONFTRTN","SISDIA","0","0","","1","","","0","","Evento VEICPROPCONFTRTN, orig. SISDIA","","","0","0","","","Serv. Processo","03/03/2017 14:08:34","29/07/2021 17:30:02","","","","","1"
"55","","OSCANCELADA","SISDIA","0","0","","1","","","0","","Evento OSCANCELADA, orig. SISDIA","","","0","0","","","Serv. Processo","07/03/2017 08:35:35","30/04/2020 15:48:38","","","","","1"
"56","","OSCANCELADAIMP","SISDIA","0","0","","1","","","0","","Evento OSCANCELADAIMP, orig. SISDIA","","","0","0","","","Serv. Processo","07/03/2017 09:22:46","29/07/2021 11:23:22","","","","","1"
"57","","NFS ALTERADA","SISDIA","9","9","","1","","","0","0","Evento NFS ALTERADA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","07/03/2017 09:24:32","07/03/2017 09:24:32","0","","","","1"
"58","","OSGARANTIACANCTRT","SISDIA","0","0","","1","","","0","","Evento OSGARANTIACANCTRT, orig. SISDIA","","","0","0","","","Serv. Processo","07/03/2017 18:11:32","26/07/2021 10:48:32","","","","","1"
"59","","VEICPROPLIBTRTN","SISDIA","0","0","","1","","","0","","Evento VEICPROPLIBTRTN, orig. SISDIA","","","0","0","","","Serv. Processo","08/03/2017 15:58:43","29/07/2021 17:32:28","","","","","1"
"60","","VEICFATTRTN","SISDIA","0","0","","1","","","0","","Evento VEICFATTRTN, orig. SISDIA","","","0","0","","","Serv. Processo","09/03/2017 14:53:50","29/07/2021 17:48:32","","","","","1"
"61","","VEICFATIMPN","SISDIA","0","0","","1","","","0","","Evento VEICFATIMPN, orig. SISDIA","","","0","0","","","Serv. Processo","09/03/2017 15:12:49","29/07/2021 17:24:35","","","","","1"
"62","","VEICFATCANCIMPN","SISDIA","0","0","","1","","","0","","Evento VEICFATCANCIMPN, orig. SISDIA","","","0","0","","","Serv. Processo","10/03/2017 16:03:35","21/07/2021 14:24:34","","","","","1"
"63","","VEICPROPLIBCANCIMPN","SISDIA","0","0","","1","","","0","","Evento VEICPROPLIBCANCIMPN, orig. SISDIA","","","0","0","","","Serv. Processo","10/03/2017 16:44:52","14/04/2021 11:28:11","","","","","1"
"64","","VEICPROPCANCN","SISDIA","0","0","","1","","","0","","Evento VEICPROPCANCN, orig. SISDIA","","","0","0","","","Serv. Processo","10/03/2017 16:45:48","31/05/2021 19:30:13","","","","","1"
"65","","OSENCERRADA","SISDIA","0","0","","1","","","0","","Evento OSENCERRADA, orig. SISDIA","","","0","0","","","Serv. Processo","13/03/2017 09:14:01","28/01/2021 10:35:50","","","","","1"
"66","","OSFATURADA","SISDIA","0","0","","1","","","0","","Evento OSFATURADA, orig. SISDIA","","","0","0","","","Serv. Processo","13/03/2017 09:14:01","28/01/2021 10:35:51","","","","","1"
"67","","VEICPROPCANCTRTN","SISDIA","0","0","","1","","","0","","Evento VEICPROPCANCTRTN, orig. SISDIA","","","0","0","","","Serv. Processo","14/03/2017 09:47:07","28/06/2021 16:36:33","","","","","1"
"68","","VEICPROPLIBCANCTRTN","SISDIA","0","0","","1","","","0","","Evento VEICPROPLIBCANCTRTN, orig. SISDIA","","","0","0","","","Serv. Processo","14/03/2017 09:57:54","28/07/2021 17:35:25","","","","","1"
"69","","VEICFATCANCTRTN","SISDIA","0","0","","1","","","0","","Evento VEICFATCANCTRTN, orig. SISDIA","","","0","0","","","Serv. Processo","14/03/2017 11:21:29","29/07/2021 17:24:36","","","","","1"
"70","","VEICNFDEVTRTN","SISDIA","0","0","","1","760","","0","","Evento VEICNFDEVTRTN, orig. SISDIA","","","0","0","","","VANESSA.ALVES","30/03/2017 10:58:00","22/07/2021 13:59:20","","","","","1"
"71","","OSENCERSNFUTL","SISDIA","0","0","","1","","","0","","Evento OSENCERSNFUTL, orig. SISDIA","","","0","0","","","Serv. Processo","16/03/2017 15:04:23","20/12/2019 09:03:33","","","","","1"
"72","","OSENCERRADAUTL","SISDIA","0","0","","1","","","0","","Evento OSENCERRADAUTL, orig. SISDIA","","","0","0","","","Serv. Processo","16/03/2017 15:04:23","11/06/2021 09:34:06","","","","","1"
"73","","VEICPROPCONFTRTU","SISDIA","0","0","","1","","","0","","Evento VEICPROPCONFTRTU, orig. SISDIA","","","0","0","","","Serv. Processo","17/03/2017 14:14:17","14/05/2021 10:55:11","","","","","1"
"74","","VEICPROPLIBTRTU","SISDIA","0","0","","1","","","0","","Evento VEICPROPLIBTRTU, orig. SISDIA","","","0","0","","","Serv. Processo","17/03/2017 14:44:08","14/05/2021 11:11:16","","","","","1"
"75","","VEICFATTRTU","SISDIA","0","0","","1","","","0","","Evento VEICFATTRTU, orig. SISDIA","","","0","0","","","Serv. Processo","17/03/2017 14:53:38","14/05/2021 13:29:28","","","","","1"
"76","","VEICFATCANCTRTU","SISDIA","0","0","","1","","","0","","Evento VEICFATCANCTRTU, orig. SISDIA","","","0","0","","","Serv. Processo","17/03/2017 14:55:34","23/12/2020 15:43:12","","","","","1"
"77","","VEICPROPLIBCANCTRTU","SISDIA","0","0","","1","","","0","","Evento VEICPROPLIBCANCTRTU, orig. SISDIA","","","0","0","","","Serv. Processo","23/03/2017 11:23:56","31/12/2020 10:02:10","","","","","1"
"78","","OSFATURADAUTL","SISDIA","0","0","","1","","","0","","Evento OSFATURADAUTL, orig. SISDIA","","","0","0","","","Serv. Processo","23/03/2017 16:23:10","11/06/2021 09:34:07","","","","","1"
"79","","BLOQ_DOCUMENTACAO","IMPORT","0","0","","1","770","","0","","Evento BLOQ_DOCUMENTACAO, orig. IMPORT","","","0","0","","","VANESSA.ALVES","24/04/2017 14:53:00","29/07/2021 12:00:32","","","","","1"
"80","","VEICPROPLIBCANC","SISDIA","0","0","","1","","","0","","Evento VEICPROPLIBCANC, orig. SISDIA","","","0","0","","","Serv. Processo","26/04/2017 06:16:52","11/02/2021 12:26:19","","","","","1"
"81","","NFS ALTERADA","SISDIA","5","5","","1","","","0","0","Evento NFS ALTERADA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","29/04/2017 09:17:45","29/04/2017 09:17:45","0","","","","1"
"82","","NFS ALTERADA","SISDIA","10","10","","1","","","0","0","Evento NFS ALTERADA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","29/04/2017 09:18:50","29/04/2017 09:18:50","0","","","","1"
"83","","NFS INCLUÍDA","SISDIA","12","12","","1","","","0","0","Evento NFS INCLUÍDA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","29/04/2017 09:25:38","29/04/2017 09:25:38","0","","","","1"
"84","","OSFATURADAPECUTL","SISDIA","0","0","","1","","","0","","Evento OSFATURADAPECUTL, orig. SISDIA","","","0","0","","","Serv. Processo","10/05/2017 09:37:34","15/04/2021 13:00:59","","","","","1"
"85","","OSENCERSNF","SISDIA","0","0","","1","","","0","","Evento OSENCERSNF, orig. SISDIA","","","0","0","","","Serv. Processo","29/05/2017 16:23:59","28/03/2019 16:53:55","","","","","1"
"86","","VEICPROPCONFUTLN","SISDIA","0","0","","1","","","0","","Evento VEICPROPCONFUTLN, orig. SISDIA","","","0","0","","","Serv. Processo","30/05/2017 16:25:43","30/05/2017 16:25:43","","","","","1"
"87","","VEICPROPLIBUTLN","SISDIA","0","0","","1","","","0","","Evento VEICPROPLIBUTLN, orig. SISDIA","","","0","0","","","Serv. Processo","30/05/2017 16:28:37","30/05/2017 16:28:37","","","","","1"
"88","","VEICFATUTLN","SISDIA","0","0","","1","","","0","","Evento VEICFATUTLN, orig. SISDIA","","","0","0","","","Serv. Processo","31/05/2017 15:41:44","31/05/2017 15:54:45","","","","","1"
"89","","VEICFATCANCUTLN","SISDIA","0","0","","1","","","0","","Evento VEICFATCANCUTLN, orig. SISDIA","","","0","0","","","Serv. Processo","31/05/2017 15:42:03","31/05/2017 15:53:13","","","","","1"
"90","","OSGARANTIACANCIMP","SISDIA","0","0","","1","","","0","","Evento OSGARANTIACANCIMP, orig. SISDIA","","","0","0","","","Serv. Processo","09/06/2017 09:04:30","18/05/2021 14:28:01","","","","","1"
"91","","OSCANCELADAUTL","SISDIA","0","0","","1","","","0","","Evento OSCANCELADAUTL, orig. SISDIA","","","0","0","","","Serv. Processo","09/08/2017 13:56:15","31/05/2021 16:40:31","","","","","1"
"92","","VEICNFDEVTRTU","SISDIA","0","0","","1","","","0","","Evento VEICNFDEVTRTU, orig. SISDIA","","","0","0","","","Serv. Processo","22/08/2017 10:55:09","08/04/2021 08:07:46","","","","","1"
"93","","NFS ALTERADA","SISDIA","12","12","","1","","","0","0","Evento NFS ALTERADA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","04/10/2017 08:24:34","04/10/2017 08:24:34","0","","","","1"
"94","","OSFATURADAPECIMP","SISDIA","0","0","","1","","","0","","Evento OSFATURADAPECIMP, orig. SISDIA","","","0","0","","","Serv. Processo","11/10/2017 14:06:56","18/06/2021 09:48:01","","","","","1"
"95","","VEICPROPCANCTRTU","SISDIA","0","0","","1","","","0","","Evento VEICPROPCANCTRTU, orig. SISDIA","","","0","0","","","Serv. Processo","31/10/2017 17:49:44","29/04/2021 17:26:02","","","","","1"
"96","","VEICPROPCONFU","SISDIA","0","0","","1","","","0","","Evento VEICPROPCONFU, orig. SISDIA","","","0","0","","","Serv. Processo","01/11/2017 09:25:22","29/07/2021 15:15:44","","","","","1"
"97","","VEICPROPLIBIMPU","SISDIA","0","0","","1","","","0","","Evento VEICPROPLIBIMPU, orig. SISDIA","","","0","0","","","Serv. Processo","01/11/2017 09:25:58","29/07/2021 15:49:45","","","","","1"
"98","","VEICPROPLIBCANCIMPU","SISDIA","0","0","","1","","","0","","Evento VEICPROPLIBCANCIMPU, orig. SISDIA","","","0","0","","","Serv. Processo","01/11/2017 15:33:37","19/01/2021 11:32:35","","","","","1"
"99","","VEICPROPCANCU","SISDIA","0","0","","1","","","0","","Evento VEICPROPCANCU, orig. SISDIA","","","0","0","","","Serv. Processo","01/11/2017 15:46:57","19/01/2021 11:33:04","","","","","1"
"100","","VEICFATIMPU","SISDIA","0","0","","1","","","0","","Evento VEICFATIMPU, orig. SISDIA","","","0","0","","","Serv. Processo","03/11/2017 10:18:20","29/07/2021 17:23:52","","","","","1"
"101","","VEICFATCANCIMPU","SISDIA","0","0","","1","","","0","","Evento VEICFATCANCIMPU, orig. SISDIA","","","0","0","","","Serv. Processo","03/11/2017 10:54:20","21/07/2021 11:22:55","","","","","1"
"102","","OSFATURADAPEC","SISDIA","0","0","","1","","","0","","Evento OSFATURADAPEC, orig. SISDIA","","","0","0","","","Serv. Processo","17/11/2017 14:11:47","14/02/2020 15:40:22","","","","","1"
"103","","NFS","SISDIA","1","1","","1","","","0","0","Evento NFS, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","20/03/2018 18:20:58","03/12/2018 13:00:28","0","","","","1"
"104","","NFS","SISDIA","11","11","","1","","","0","0","Evento NFS, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","20/03/2018 18:20:59","03/12/2018 13:00:11","0","","","","1"
"105","","NFS","SISDIA","3","3","","1","","","0","0","Evento NFS, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","20/03/2018 18:20:59","03/12/2018 13:00:28","0","","","","1"
"106","","NFS","SISDIA","7","7","","1","","","0","0","Evento NFS, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","20/03/2018 18:20:59","03/12/2018 13:00:23","0","","","","1"
"107","","NFS","SISDIA","4","4","","1","","","0","0","Evento NFS, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","20/03/2018 18:20:59","03/12/2018 13:00:28","0","","","","1"
"108","","NFS","SISDIA","2","2","","1","","","0","0","Evento NFS, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","20/03/2018 18:21:00","03/12/2018 13:00:17","0","","","","1"
"109","","NFS","SISDIA","12","12","","1","","","0","0","Evento NFS, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","20/03/2018 18:21:01","03/12/2018 09:07:34","0","","","","1"
"110","","NFS","SISDIA","5","5","","1","","","0","0","Evento NFS, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","20/03/2018 18:21:01","03/12/2018 09:07:39","0","","","","1"
"111","","NFS","SISDIA","10","10","","1","","","0","0","Evento NFS, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","20/03/2018 18:21:02","03/12/2018 13:00:23","0","","","","1"
"112","","NFS","SISDIA","9","9","","1","","","0","0","Evento NFS, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","20/03/2018 18:21:03","03/12/2018 13:00:28","0","","","","1"
"113","","VEICNFDEVIMPU","SISDIA","0","0","","1","","","0","","Evento VEICNFDEVIMPU, orig. SISDIA","","","0","0","","","Serv. Processo","28/05/2018 14:57:24","05/08/2020 13:17:46","","","","","1"
"115","","AUDITORIA","AUDIT","0","0","","1","1513","1513","0","","Evento AUDITORIA, orig. AUDIT","","","0","0","","","VTCCONS","15/08/2019 15:08:00","16/05/2023 15:50:15","","","","","1"
"116","","NFS/MAQ-PEÇAS/N","PROTHEUS","0","0","","0","53","","0","0","NFS peças faturada","","","0","0","","","VTCCONS","31/07/2021 17:11:00","14/04/2025 16:56:52","0","","","0","1"
"117","","OS/N","PROTHEUS","0","0","","0","54","","0","0","OS Aberta","","","0","0","","","VTCCONS","31/07/2021 17:21:00","","0","","","0","0"
"118","","NFS/MAQ-SERV/N","PROTHEUS","0","0","","0","54","","0","0","NFS serviço faturada","","","0","0","","","DIEGO.MARQUES","27/10/2021 17:20:00","29/08/2024 12:09:06","0","","","0","1"
"119","","NFS/MAQ-PEÇAS/C","PROTHEUS","0","0","","0","","","0","0","NFS peças cancelada","","","0","0","","","VTCCONS","31/07/2021 17:21:00","","0","","","0","0"
"120","","OS/C","PROTHEUS","0","0","","0","","","0","0","OS cancelada","","","0","1","","","VTCCONS","31/07/2021 17:23:00","","0","","","0","0"
"121","","NFS/MAQ-NOVOS/N","PROTHEUS","0","0","","0","66","","0","0","NFS maquina faturada","","","0","0","","","VTCCONS","31/07/2021 17:14:00","08/02/2025 10:16:35","0","","","0","1"
"122","","OS","Protheus","1","1","","1","","","0","0","Evento OS, orig. Protheus","","","0","0","","Cadastrado automaticamente","* Auto","02/08/2021 12:58:21","25/05/2024 15:18:11","0","","","0","1"
"123","","NFS","Protheus","0","0","","1","","","0","0","Evento NFS, orig. Protheus","","","0","0","","Cadastrado automaticamente","DIEGO.MARQUES","15/02/2023 10:05:00","14/04/2025 16:56:52","0","","","0","1"
"124","","OS","Protheus","10110","10110","","1","","","0","0","Evento OS, orig. Protheus","","","0","0","","Cadastrado automaticamente","* Auto","14/02/2023 17:17:19","02/02/2024 07:17:33","0","","","0","1"
"125","","OS","Protheus","10101","10101","","1","","","0","0","Evento OS, orig. Protheus","","","0","0","","Cadastrado automaticamente","* Auto","15/02/2023 17:20:02","02/02/2024 13:40:29","0","","","0","1"
"126","","OS","Protheus","10103","10103","","1","","","0","0","Evento OS, orig. Protheus","","","0","0","","Cadastrado automaticamente","* Auto","17/02/2023 10:59:06","02/02/2024 07:17:31","0","","","0","1"
"127","","OS","Protheus","10102","10102","","1","","","0","0","Evento OS, orig. Protheus","","","0","0","","Cadastrado automaticamente","* Auto","22/02/2023 16:38:08","01/02/2024 07:05:54","0","","","0","1"
"128","","OS","Protheus","10107","10107","","1","","","0","0","Evento OS, orig. Protheus","","","0","0","","Cadastrado automaticamente","* Auto","05/03/2023 08:29:02","02/02/2024 09:21:15","0","","","0","1"
"129","","OS","Protheus","10104","10104","","1","","","0","0","Evento OS, orig. Protheus","","","0","0","","Cadastrado automaticamente","* Auto","22/03/2023 16:14:19","27/01/2024 07:00:26","0","","","0","1"
"130","","OS","Protheus","10111","10111","","1","","","0","0","Evento OS, orig. Protheus","","","0","0","","Cadastrado automaticamente","* Auto","12/09/2023 08:30:10","01/02/2024 12:52:16","0","","","0","1"
