"SeqResMsgPapel","Resultado","AtitudeUsr","NroEmpresa","ResultadoCmpl","Grupo","Ordem","TipoDest","Papel","Canal","SeqTxtPadrao","Template","Remetente","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","PesFormulario","PesResultado","QTDEDIAS","QTDEHU","SEQCONTAENVIO","TIPOPREFENVIO","INDENVIAQLQERHORA","EMUSO","PRIORIDADE","DESCRICAOMENSAGEM","OBJETIVOMSG"
"1984","2458"," ","9","Serviços","","","USR","593","EML","182","","","14/06/2023 12:28:00","LIVIA.SILVA","06/09/2023 11:26:00","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1894","2224"," ","","","","","USR","489","EML","174","","","09/03/2023 10:05:58","LIVIA.SILVA","","","","","0","0,00","","","","1","5","",""
"1896","2224"," ","","","","","USR","167","EML","174","","","09/03/2023 10:05:06","LIVIA.SILVA","","","","","0","0,00","","","","1","5","",""
"1899","2182"," ","","","","","USR","782","EML","175","","","14/03/2023 11:05:52","LIVIA.SILVA","","","","","0","0,00","","","","1","5","",""
"1900","2181"," ","","","","","USR","782","EML","176","","","14/03/2023 11:12:10","LIVIA.SILVA","","","","","0","0,00","","","","1","5","",""
"1902","2181"," ","","","","","USR","167","EML","176","","","14/03/2023 11:26:36","LIVIA.SILVA","","","","","0","0,00","","","","1","5","",""
"1904","2181"," ","","","","","USR","489","EML","176","","","14/03/2023 11:26:27","LIVIA.SILVA","","","","","0","0,00","","","","1","5","",""
"1906","2182"," ","","","","","USR","167","EML","175","","","14/03/2023 11:27:49","LIVIA.SILVA","","","","","0","0,00","","","","1","5","",""
"1908","2182"," ","","","","","USR","489","EML","175","","","14/03/2023 11:27:48","LIVIA.SILVA","","","","","0","0,00","","","","1","5","",""
"1909","2127"," ","","","","","USR","692","EML","16","","","14/03/2023 11:58:06","LIVIA.SILVA","","","","","0","0,00","","","","1","5","",""
"1914","2132"," ","","","","1","USR","3","EML","178","","","20/03/2023 10:41:51","LIVIA.SILVA","14/07/2023 14:48:00","VTCCONS","","","0","0,00","290","","","1","5","",""
"1927","2114"," ","","","","","USR","167","EML","133","","","24/03/2023 09:11:21","LIVIA.SILVA","","","","","0","0,00","","","","1","5","",""
"1776","940415"," ","","","","","USR","686","EML","170","","","08/02/2023 11:48:25","LIVIA.SILVA","20/04/2023 10:27:33","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1777","940415"," ","","","","","USR","354","EML","170","","","08/02/2023 11:44:24","LIVIA.SILVA","20/04/2023 10:27:33","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1782","940415"," ","11","","","","USR","593","EML","170","","","08/02/2023 11:44:22","LIVIA.SILVA","20/04/2023 10:27:33","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1783","940415"," ","1","","","","USR","1157","EML","170","","","08/02/2023 11:44:00","LIVIA.SILVA","13/06/2024 15:40:00","NETO.PRADO","","","0","0,00","","","0","1","5","Envio EML para coord srvs rib preto",""
"1784","940415"," ","9","","","","USR","593","EML","170","","","08/02/2023 11:44:21","LIVIA.SILVA","06/09/2023 11:55:00","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1785","940415"," ","4","","","","USR","593","EML","170","","","08/02/2023 11:44:21","LIVIA.SILVA","22/08/2023 11:37:00","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1786","940415"," ","3","","","","USR","593","EML","170","","","08/02/2023 11:44:21","LIVIA.SILVA","22/08/2023 11:37:00","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1787","940415"," ","10","","","","USR","421","EML","170","","","08/02/2023 11:44:21","LIVIA.SILVA","20/04/2023 10:27:33","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1789","940415"," ","2","","","","USR","421","EML","170","","","08/02/2023 11:44:21","LIVIA.SILVA","20/04/2023 10:27:33","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1790","940415"," ","7","","","","USR","593","EML","170","","","08/02/2023 11:44:20","LIVIA.SILVA","20/04/2023 10:27:33","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1791","940415"," ","","","","","USR","516","EML","170","","","08/02/2023 11:44:20","LIVIA.SILVA","20/04/2023 10:27:33","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1803","2355"," ","","","","","USR","686","EML","170","","","08/02/2023 12:46:57","LIVIA.SILVA","20/04/2023 10:28:55","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1805","2288"," ","","","","","USR","782","EML","168","","","23/02/2023 15:11:43","LIVIA.SILVA","","","","","0","0,00","","","","1","5","",""
"1836","1818"," ","","","","","USR","796","EML","11","","","07/03/2023 22:09:46","VANESSA.ALVES","20/04/2023 10:59:31","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1837","1818"," ","","","","","USR","516","EML","11","","","07/03/2023 22:09:46","VANESSA.ALVES","20/04/2023 10:59:31","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1842","940122"," ","","","","","USR","796","EML","11","","","07/03/2023 22:12:06","VANESSA.ALVES","20/04/2023 10:57:27","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1843","940122"," ","","","","","USR","516","EML","11","","","07/03/2023 22:12:03","VANESSA.ALVES","20/04/2023 10:57:27","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1844","940123"," ","","","","","USR","796","EML","11","","","07/03/2023 22:13:12","VANESSA.ALVES","20/04/2023 10:58:04","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1845","940123"," ","","","","","USR","516","EML","11","","","07/03/2023 22:13:11","VANESSA.ALVES","20/04/2023 10:58:04","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1846","1875"," ","","","","","USR","796","EML","11","","","07/03/2023 22:14:57","VANESSA.ALVES","20/04/2023 10:53:52","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1853","1876"," ","","","","","USR","796","EML","11","","","07/03/2023 22:17:55","VANESSA.ALVES","20/04/2023 10:54:29","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1862","1713"," ","","","","","USR","796","EML","11","","","07/03/2023 22:20:28","VANESSA.ALVES","20/04/2023 10:50:00","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1864","1713"," ","","","","","USR","516","EML","11","","","07/03/2023 22:20:22","VANESSA.ALVES","20/04/2023 10:50:00","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"808","1306"," ","","Pesquisa Realizada","","","USR","516","EML","94","","#ATD","21/08/2018 10:31:05","BRUNA.FELICIO","12/11/2018 13:14:51","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"810","1306"," ","","Pesquisa Realizada","","","USR","241","EML","94","","#ATD","27/08/2018 10:04:34","BRUNA.FELICIO","27/08/2018 10:10:41","BRUNA.FELICIO","","","0","0,00","","","","1","5","",""
"812","1306"," ","","Pesquisa Realizada","","","USR","354","EML","94","","#ATD","27/08/2018 10:04:33","BRUNA.FELICIO","27/08/2018 10:10:41","BRUNA.FELICIO","","","0","0,00","","","","1","5","",""
"815","1278"," ","","Mkt","","","USR","629","EML","91","","","24/09/2018 09:37:44","VANESSA.ALVES","22/08/2020 20:32:46","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"816","1278"," ","","Nulo","","","USR","516","EML","91","","","24/09/2018 09:37:42","VANESSA.ALVES","22/08/2020 20:32:46","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"835","1378"," ","","","1","","USR","-5","EML","97","","#ATD","15/03/2019 10:15:35","DIEGO.MARQUES","26/03/2019 13:28:58","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"837","1384"," ","","","","","USR","656","EML","98","","#ATD","18/03/2019 10:30:54","DIEGO.MARQUES","08/10/2020 15:11:26","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"839","1403"," ","","","","","USR","656","EML","99","","#ATD","22/03/2019 14:12:15","DIEGO.MARQUES","08/10/2020 15:08:28","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"843","1378"," ","","","1","","USR","354","EML","97","","#ATD","26/03/2019 13:28:17","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"844","1378"," ","","","1","","USR","656","EML","97","","#ATD","26/03/2019 13:27:54","DIEGO.MARQUES","08/10/2020 15:09:21","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"845","1378"," ","1","","1","","USR","127","EML","97","","#ATD","26/03/2019 13:27:18","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"877","1433"," ","","","","","USR","656","EML","103","","","27/05/2019 14:02:57","DIEGO.MARQUES","08/10/2020 14:45:26","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"879","1433"," ","1","","","","USR","594","EML","103","","","27/05/2019 14:09:20","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"880","1433"," ","11","","","","USR","827","EML","103","","","27/05/2019 14:08:57","DIEGO.MARQUES","10/05/2023 10:12:55","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"881","1433"," ","11","","","","USR","594","EML","103","","","27/05/2019 14:08:22","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"882","1433"," ","3","","","","USR","593","EML","103","","","27/05/2019 14:07:52","DIEGO.MARQUES","21/08/2023 13:16:00","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"883","1433"," ","3","","","","USR","765","EML","103","","","27/05/2019 14:07:30","DIEGO.MARQUES","01/06/2022 14:30:46","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"884","1433"," ","2","","","","USR","594","EML","103","","","27/05/2019 14:07:03","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"887","1433"," ","","","","","USR","819","EML","103","","","27/05/2019 14:05:00","DIEGO.MARQUES","18/11/2024 14:46:18","MATHEUS.AUGUSTO","","","0","0,00","","","","1","5","",""
"888","1433"," ","","","","","USR","576","EML","103","","","27/05/2019 14:04:31","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"889","1433"," ","","","","","USR","577","EML","103","","","27/05/2019 14:04:11","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"890","1388"," ","1","","","","USR","127","EML","86","","","27/05/2019 14:23:19","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"891","1388"," ","4","","","","USR","243","EML","86","","","27/05/2019 14:23:00","DIEGO.MARQUES","21/08/2022 14:33:03","VTCCONS","","","0","0,00","","","","1","5","",""
"892","1388"," ","11","","","","USR","782","EML","86","","","27/05/2019 14:22:26","DIEGO.MARQUES","12/03/2024 08:22:46","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"893","1388"," ","3","","","","USR","243","EML","86","","","27/05/2019 14:22:00","DIEGO.MARQUES","21/08/2022 14:33:03","VTCCONS","","","0","0,00","","","","1","5","",""
"895","1388"," ","","","","","USR","239","EML","86","","","27/05/2019 14:21:17","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"897","1388"," ","","","","","USR","431","EML","86","","","27/05/2019 14:20:23","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"901","1388"," ","","","","","USR","577","EML","86","","","27/05/2019 14:18:17","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1030","1555"," ","","","","","USR","577","EML","119","","","01/12/2019 19:46:01","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1031","1555"," ","","","","","USR","-5","EML","119","","","01/12/2019 19:45:23","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1032","1517"," ","","","","","USR","577","EML","120","","","17/12/2019 16:22:25","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1039","258"," ","","","1","1","USR","516","EML","","","#ATD","09/02/2020 19:45:12","DIEGO.MARQUES","","","","","","0,00","","","","1","5","",""
"1044","221"," ","","","1","1","USR","516","EML","55","","","09/02/2020 19:53:04","DIEGO.MARQUES","","","","","","0,00","","","","1","5","",""
"1047","1623"," ","","","","","USR","656","EML","123","","","25/02/2020 21:06:20","DIEGO.MARQUES","30/09/2020 16:52:33","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"1059","1586"," ","","","","","USR","516","EML","124","","","28/02/2020 08:33:29","DIEGO.MARQUES","12/03/2020 10:36:16","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"1061","1586"," ","1","","","","USR","127","EML","124","","","28/02/2020 08:32:35","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1062","1586"," ","7","","","","USR","782","EML","124","","","28/02/2020 08:32:08","DIEGO.MARQUES","12/03/2024 08:18:43","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1071","285"," ","","","","","USR","516","EML","4","","","05/03/2020 12:44:02","DIEGO.MARQUES","","","","","","0,00","","","","1","5","",""
"1073","450"," ","7","","1","1","USR","782","EML","77","","","05/03/2020 12:46:22","DIEGO.MARQUES","12/03/2024 08:20:26","LIVIA.SILVA","","","","0,00","","","","1","5","",""
"1075","285"," ","7","","","","USR","782","EML","4","","","05/03/2020 12:49:51","DIEGO.MARQUES","12/03/2024 08:20:06","LIVIA.SILVA","","","","0,00","","","","1","5","",""
"1078","940390"," ","","","1","1","USR","516","EML","78","","","05/03/2020 12:55:15","DIEGO.MARQUES","","","","","","0,00","","","","1","5","",""
"1081","1680"," ","","","","","USR","686","EML","125","","","30/04/2020 15:19:14","DIEGO.MARQUES","08/09/2022 13:36:01","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"997","1278"," ","","Financeiro","","","USR","-3","EML","91","","","06/09/2019 09:56:52","VANESSA.ALVES","01/08/2024 09:11:39","MATHEUS.AUGUSTO","","","0","0,00","","","","0","5","",""
"999","1278"," ","","Outros","","","USR","516","EML","91","","","06/09/2019 09:58:01","VANESSA.ALVES","22/08/2020 20:32:46","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
