"Seq","Processo","Origem","Acao","Banco","Dono","Tabela","Separador","Status","Coluna","Dado","ColunaIdentific","DadoIdentificador","DtaGeracao","Prioridade"
"188103","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;LUIZ.CONTIERO;Colocando temperatura na negociação ;D:202502231725;A;13;1469787;2563;2152035;96639;;N","","","23/02/2025 17:31:13",""
"188101","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;LUIZ.CONTIERO;Colocando temperatura na negociação ;D:202502231723;A;13;1469786;2563;2152033;103586;;N","","","23/02/2025 17:31:12",""
"188086","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Visita;GABRIEL.ANJOS;PUDA;PEDIDO REALIZADO.;D:202502221215;A;9;1469756;2548;2152012;118500;;N","","","22/02/2025 12:17:53",""
"188067","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;Externo;HEITOR.MARTINEZ;conheci edivaldo, por agora tudo ok;D:202502211709;A;13;1469700;2553;2151858;108131;;N","","","21/02/2025 17:10:40",""
"188066","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;Externo;HEITOR.MARTINEZ;fui na fazenda e carina não estava ;D:202502211708;A;13;1469699;2553;2151857;100140;;N","","","21/02/2025 17:10:40",""
"188064","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;Externo;HEITOR.MARTINEZ;conheci Carlos, por agora tudo ok ;D:202502211706;A;13;1469698;2553;2151855;104294;;N","","","21/02/2025 17:10:38",""
"188062","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;Externo;HEITOR.MARTINEZ;achei a fazenda e o cliente não estava ;D:202502211705;A;13;1469697;2553;2151853;96834;;N","","","21/02/2025 17:10:37",""
"188061","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;Externo;HEITOR.MARTINEZ;fui na fazenda mas Cláudio não estava ;D:202502211704;A;13;1469696;2553;2151852;107595;;N","","","21/02/2025 17:10:36",""
"188060","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;Externo;HEITOR.MARTINEZ;conheci o cliente, tudo ok por agora ;D:202502211704;A;13;1469695;2553;2151851;104369;;N","","","21/02/2025 17:10:35",""
"188059","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Visita;LUCAS.BELINI;Visita presencial realizada, contato Wesley, informou que vai precisar de um 5078 pro final do ano, informei que nosso estoque está pra Maio, disse que na Agrishow verá as possibilidades.;D:202502211706;A;1;1469694;2553;2151849;44485;;N","","","21/02/2025 17:09:03",""
"188058","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;RESULTADOCMPL;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Visita;LUCAS.BELINI;marcelo baccega;Visita presencial realizada, contato Marcelo ausente, por telefone informou que está tudo certo, no momento não está precisando de nada.;D:202502211348;A;1;1469693;2552;RESP AUSENTE;2151848;61091;;N","","","21/02/2025 17:09:02",""
"188056","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;RESULTADOCMPL;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Visita;LUCAS.BELINI;BETO BACHEGA;Visita presencial realizada, contato Beto ausente, por telefone informou que está tudo certo.;D:202502211332;A;1;1469692;2552;RESP AUSENTE;2151846;28947;;N","","","21/02/2025 17:09:01",""
"188054","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Visita;LUCAS.BELINI;ROGERIO;Visita presencial realizada, contato Rogério, informou que não estão precisando de nada.;D:202502211305;A;1;1469691;2553;2151844;46299;;N","","","21/02/2025 17:09:00",""
"188053","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;RESULTADOCMPL;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Visita;LUCAS.BELINI;LEANDRO ;Visita presencial realizada, contato Leandro e Danilo ausente, por telefone informou que está tudo certo, não está precisando de nada no momento.;D:202502211010;A;1;1469690;2552;RESP AUSENTE;2151843;13432;;N","","","21/02/2025 17:08:59",""
"188052","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;RESULTADOCMPL;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Visita;LUCAS.BELINI;CESAR;Visita presencial realizada, contato Cesar ausente, por telefone informou que está tudo certo, não está precisando de nada no momento.;D:202502211009;A;1;1469689;2552;RESP AUSENTE;2151842;56923;;N","","","21/02/2025 17:08:59",""
"188048","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;RESULTADOCMPL;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Externo;HEITOR.MARTINEZ;conheci o cliente, estamos negociando um 5060en com carregadeira ;D:202502211659;A;13;1469684;2547;MÁQUINA/IMPLEMENTO;2151824;105533;HEITOR.MARTINEZ;N","","","21/02/2025 17:00:18",""
"188047","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;Externo;HEITOR.MARTINEZ;conheci Elton na propriedade, tudo ok por agora ;D:202502211657;A;13;1469683;2553;2151823;97130;HEITOR.MARTINEZ;N","","","21/02/2025 17:00:17",""
"188034","CRM","MOBILELITE","I","","","IV_HISTORICO",";","E","Seqhistorico;Seqpessoa;Resultado;Contato;Nroempresa;Codusuario;Acaogeradora;Resultadocmpl;Agendaorigem;Dtarealizacao;Detalhe;Natureza;Processo;Valor;Qtde;Duracao;Canal;Campanha;Vendedor;Dtaagenda;Latitude;Longitude;Indsincfile;GERAACAO","2151780;92215;2612;;2;MATHEUS.APP;;;;D:202502211638;Teste alteração cadastral;R;1469668;;;;;;MATHEUS APP;;-20,8473909512556;-49,3480900543603;;P","","","21/02/2025 17:27:00",""
"187994","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;FERNANDO.SANTOS;NO-GILBERTO;Eu e o Willian fomos falar com o cliente o mesmo pediu para avaliar seu 5090E usado e ver a volta que tem que dar. ficamos de avaliar e retornar na próxima 4 feira.;D:202502211417;A;16;1469628;2563;2151585;41812;;N","","","21/02/2025 14:24:11",""
"187990","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;LUIZ.CONTIERO;Mexedor foi fechado;D:202502211010;A;13;1469539;2548;2151374;109761;LUIZ.CONTIERO;N","","","21/02/2025 10:11:42",""
"187988","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;DAIR.GANDINI;pedido realizado ;D:202502210938;A;15;1469527;2548;2151322;118492;;N","","","21/02/2025 09:38:45",""
"187969","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;VANDERLEI.JUNIOR;NO-FELIPE;fechamos o 5080EN cab 9x3 , cliente irá financiar pelo B.B de Paraíso. ;D:202502210820;A;14;1469492;2548;2151154;110671;VANDERLEI JUNIOR;N","","","21/02/2025 08:22:06",""
"187968","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;VANDERLEI.JUNIOR;NO-FELIPE;fechamos o trator 5080E CAB 9x3 por 226 mil.
cliente irá usar cotas de consórcio para realizar o pagamento.
;D:202502210817;A;14;1469491;2548;2151153;110671;VANDERLEI JUNIOR;N","","","21/02/2025 08:22:05",""
"187962","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;VANDERLEI.JUNIOR;NO-PAULO;falei com seu Paulo ele vai apresentar a proposta pro Agostinho e definir o fechamento. 
;D:202502191716;A;14;1469490;2563;2151147;116051;VANDERLEI JUNIOR;N","","","21/02/2025 08:22:02",""
"187943","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Externo;VANDERLEI.JUNIOR;NO-RANIERI;vamos dar andamento . estamos a disposição do cliente ;D:202501311624;A;14;1460371;2553;2151128;103249;VANDERLEI JUNIOR;N","","","21/02/2025 08:21:52",""
"187942","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;VANDERLEI.JUNIOR;NO-RANIERI;fechamos via banco John deere  moder frota .;D:202501311624;A;14;1460370;2548;2151127;103249;VANDERLEI JUNIOR;N","","","21/02/2025 08:21:52",""
"187939","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;DAIR.GANDINI;ra;D:202502202244;A;15;1469481;2563;2151074;118492;;N","","","20/02/2025 22:46:41",""
"187938","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;DAIR.GANDINI;pedido tirado;D:202502202243;A;15;1469481;2548;2151073;118492;;N","","","20/02/2025 22:46:41",""
"187937","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;DAIR.GANDINI;estou;D:202502202237;A;15;1469481;2563;2151072;118492;;N","","","20/02/2025 22:46:41",""
"187929","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Visita;HOMERO.DAMASCENO;ADEILSON;Cliente abortou compra por motivo de não fechamento de contrato com Cutrale;D:202502201628;A;1;1469454;2553;2150924;71348;HOMERO.DAMASCENO;N","","","20/02/2025 16:31:10",""
"187905","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;WhatsApp;LUCAS.BELINI;CLAUDIO;Contato via telefone, cliente gostaria do preço do 5070E adaptado pra granja, por curiosidade, informado valor.;D:202502191454;A;1;1469411;2553;2149432;91349;LUCAS.BELINI;N","","","20/02/2025 14:57:57",""
"187904","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Visita;LUCAS.BELINI;ROQUE;Visita presencial realizada, contato ROQUE, cotando 5070E adaptado pra granja e 5080EN;D:202502190952;A;1;1469410;2553;2149431;11051;LUCAS.BELINI;N","","","20/02/2025 14:57:56",""
"187843","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Visita;JOAO.JUNIOR;SILVIO;PEDIDO COM ENTREGA 
5080EN 9X3 CAB JOHN DEERE;D:202502192112;A;11;1467937;2548;2148917;66716;JOAO.JUNIOR;N","","","19/02/2025 21:14:14",""
"187841","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Visita;JOAO.JUNIOR;MARCIO;Guilherme passou detalhes de como pai cliente Márcio conduziu e motivo de desistência da compra do nosso equipamento conforme formulário.;D:202502140933;A;11;1467935;2550;2148914;83129;JOAO.JUNIOR;N","","","19/02/2025 21:00:38",""
"187820","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;EDUARDO.SANTANA;financiamento enviado via atrium, foi para análise do banco John deere

entrada R$ 33.873,60
mais a flat de 2% serão pagos com recurso próprio

moderfrota 11.5%;D:202502191541;A;16;1467856;2548;2148692;118487;;N","","","19/02/2025 15:46:15",""
"187819","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;RESULTADOCMPL;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Visita;EDUARDO.SANTANA;visita para fechamento de máquina ;D:202502191018;A;16;1467855;2547;MÁQUINA/IMPLEMENTO;2148691;118487;;N","","","19/02/2025 15:46:14",""
"187814","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;EDUARDO.SANTANA;lançando segundo pedido, estamos vendo linha de crédito do banco john deere;D:202502190801;A;16;1467613;2548;2148152;96470;;N","","","19/02/2025 08:10:47",""
